Treatment,Stream,Riffle,Stone,Stone_Area,Richness,Abundance
Reference,Amani_Emau,Low,1,736,8,14
Reference,Amani_Emau,Low,2,398,2,2
Reference,Amani_Emau,Low,3,488,6,8
Reference,Amani_Emau,Low,4,928,4,10
Reference,Amani_Emau,Low,5,550,5,10
Reference,Amani_Emau,Low,6,608,1,1
Reference,Amani_Emau,Low,7,1428,6,9
Reference,Amani_Emau,Med,1,578,6,15
Reference,Amani_Emau,Med,2,664,3,5
Reference,Amani_Emau,Med,3,1062,7,20
Reference,Amani_Emau,Med,4,486,11,29
Reference,Amani_Emau,Med,5,586,4,11
Reference,Amani_Emau,Med,6,568,4,12
Reference,Amani_Emau,Med,7,914,8,11
Reference,Amani_Emau,High,1,320,5,6
Reference,Amani_Emau,High,2,562,4,6
Reference,Amani_Emau,High,3,1494,8,25
Reference,Amani_Emau,High,4,528,3,5
Reference,Amani_Emau,High,5,508,9,16
Reference,Amani_Emau,High,6,474,4,7
Reference,Amani_Emau,High,7,640,4,5
Reference,Kwamkoro_Trib,Low,1,670,5,9
Reference,Kwamkoro_Trib,Low,2,488,7,11
Reference,Kwamkoro_Trib,Low,3,556,6,8
Reference,Kwamkoro_Trib,Low,4,342,3,5
Reference,Kwamkoro_Trib,Low,5,256,6,8
Reference,Kwamkoro_Trib,Low,6,104.4,3,3
Reference,Kwamkoro_Trib,Low,7,838,7,7
Reference,Kwamkoro_Trib,Med,1,472,5,10
Reference,Kwamkoro_Trib,Med,2,536,4,6
Reference,Kwamkoro_Trib,Med,3,1172,3,4
Reference,Kwamkoro_Trib,Med,4,1256,4,6
Reference,Kwamkoro_Trib,Med,5,870,6,10
Reference,Kwamkoro_Trib,Med,6,954,4,6
Reference,Kwamkoro_Trib,Med,7,444,2,2
Reference,Kwamkoro_Trib,High,1,502,3,4
Reference,Kwamkoro_Trib,High,2,376,4,5
Reference,Kwamkoro_Trib,High,3,448,4,9
Reference,Kwamkoro_Trib,High,4,340,3,4
Reference,Kwamkoro_Trib,High,5,266,3,4
Reference,Kwamkoro_Trib,High,6,328,3,9
Reference,Kwamkoro_Trib,High,7,346,3,6
Reference,Sangarawa_Trib,Low,1,390,5,6
Reference,Sangarawa_Trib,Low,2,550,2,2
Reference,Sangarawa_Trib,Low,3,312,3,3
Reference,Sangarawa_Trib,Low,4,1020,3,4
Reference,Sangarawa_Trib,Low,5,672,2,6
Reference,Sangarawa_Trib,Low,6,320,4,6
Reference,Sangarawa_Trib,Low,7,558,4,7
Reference,Sangarawa_Trib,Med,1,338,3,3
Reference,Sangarawa_Trib,Med,2,468,4,5
Reference,Sangarawa_Trib,Med,3,1798,1,2
Reference,Sangarawa_Trib,Med,4,508,5,6
Reference,Sangarawa_Trib,Med,5,1250,3,6
Reference,Sangarawa_Trib,Med,6,590,3,6
Reference,Sangarawa_Trib,Med,7,838,5,11
Reference,Sangarawa_Trib,High,1,424,5,5
Reference,Sangarawa_Trib,High,2,678,4,7
Reference,Sangarawa_Trib,High,3,632,4,9
Reference,Sangarawa_Trib,High,4,550,5,6
Reference,Sangarawa_Trib,High,5,352,6,8
Reference,Sangarawa_Trib,High,6,334,4,5
Reference,Sangarawa_Trib,High,7,608,5,7
Reference,Amani,Low,1,360,5,8
Reference,Amani,Low,2,736,2,2
Reference,Amani,Low,3,684,8,13
Reference,Amani,Low,4,386,3,5
Reference,Amani,Low,5,388,5,5
Reference,Amani,Low,6,466,3,7
Reference,Amani,Low,7,516,1,3
Reference,Amani,Med,1,992,9,14
Reference,Amani,Med,2,942,7,8
Reference,Amani,Med,3,550,9,14
Reference,Amani,Med,4,1384,8,14
Reference,Amani,Med,5,670,5,8
Reference,Amani,Med,6,264,4,5
Reference,Amani,Med,7,736,3,5
Reference,Amani,High,1,364,5,6
Reference,Amani,High,2,664,6,8
Reference,Amani,High,3,286.5,4,5
Reference,Amani,High,4,388,6,11
Reference,Amani,High,5,367.5,3,4
Reference,Amani,High,6,551,4,4
Reference,Amani,High,7,302,2,2
Tea,Dodwe,Low,1,628,1,1
Tea,Dodwe,Low,2,812,3,6
Tea,Dodwe,Low,3,520,1,2
Tea,Dodwe,Low,4,504,4,5
Tea,Dodwe,Low,5,256,2,3
Tea,Dodwe,Low,6,328,2,2
Tea,Dodwe,Low,7,292,3,4
Tea,Dodwe,Med,1,1150,3,10
Tea,Dodwe,Med,2,614,1,1
Tea,Dodwe,Med,3,462,2,6
Tea,Dodwe,Med,4,450,2,3
Tea,Dodwe,Med,5,1090,3,3
Tea,Dodwe,Med,6,726,4,5
Tea,Dodwe,Med,7,690,4,6
Tea,Dodwe,High,1,334,3,4
Tea,Dodwe,High,2,608,2,6
Tea,Dodwe,High,3,166,3,4
Tea,Dodwe,High,4,334,5,7
Tea,Dodwe,High,5,846,3,16
Tea,Dodwe,High,6,234,2,7
Tea,Dodwe,High,7,342,1,4
Tea,Kwamkoro,Low,1,401.92,4,9
Tea,Kwamkoro,Low,2,579.6,8,11
Tea,Kwamkoro,Low,3,700,3,6
Tea,Kwamkoro,Low,4,572,3,4
Tea,Kwamkoro,Low,5,430,2,2
Tea,Kwamkoro,Low,6,144,5,9
Tea,Kwamkoro,Low,7,528,8,11
Tea,Kwamkoro,Med,1,650,3,4
Tea,Kwamkoro,Med,2,782,2,3
Tea,Kwamkoro,Med,3,822,5,5
Tea,Kwamkoro,Med,4,712,2,2
Tea,Kwamkoro,Med,5,950,1,2
Tea,Kwamkoro,Med,6,734,3,5
Tea,Kwamkoro,Med,7,450,2,2
Tea,Kwamkoro,High,1,490,2,2
Tea,Kwamkoro,High,2,738,3,3
Tea,Kwamkoro,High,3,480,1,1
Tea,Kwamkoro,High,4,342,2,4
Tea,Kwamkoro,High,5,310,1,1
Tea,Kwamkoro,High,6,450,2,2
Tea,Kwamkoro,High,7,320,1,1
Tea,Sangarawa,Low,1,696,4,14
Tea,Sangarawa,Low,2,616,4,20
Tea,Sangarawa,Low,3,622,6,16
Tea,Sangarawa,Low,4,736,2,9
Tea,Sangarawa,Low,5,280,2,2
Tea,Sangarawa,Low,6,382,4,6
Tea,Sangarawa,Low,7,1390,3,17
Tea,Sangarawa,Med,1,460,2,3
Tea,Sangarawa,Med,2,572,5,6
Tea,Sangarawa,Med,3,412,2,2
Tea,Sangarawa,Med,4,376,2,3
Tea,Sangarawa,Med,5,340,1,1
Tea,Sangarawa,Med,6,344,3,4
Tea,Sangarawa,Med,7,176,2,2
Tea,Sangarawa,High,1,648,7,8
Tea,Sangarawa,High,2,528,4,6
Tea,Sangarawa,High,3,208,2,4
Tea,Sangarawa,High,4,1012,4,5
Tea,Sangarawa,High,5,344,3,5
Tea,Sangarawa,High,6,628,6,10
Tea,Sangarawa,High,7,334,3,6
Tea,Kwankuya,Low,1,992,1,1
Tea,Kwankuya,Low,2,606,1,1
Tea,Kwankuya,Low,3,912,1,1
Tea,Kwankuya,Low,4,378,1,1
Tea,Kwankuya,Low,5,592,1,1
Tea,Kwankuya,Low,6,784,0,0
Tea,Kwankuya,Low,7,450,3,3
Tea,Kwankuya,Med,1,462,0,0
Tea,Kwankuya,Med,2,328,0,0
Tea,Kwankuya,Med,3,190,0,0
Tea,Kwankuya,Med,4,694,2,2
Tea,Kwankuya,Med,5,462,0,0
Tea,Kwankuya,Med,6,608,0,0
Tea,Kwankuya,Med,7,142,0,0
Tea,Kwankuya,High,1,332,2,7
Tea,Kwankuya,High,2,348,1,2
Tea,Kwankuya,High,3,166,3,16
Tea,Kwankuya,High,4,286,2,4
Tea,Kwankuya,High,5,424,2,4
Tea,Kwankuya,High,6,346,1,2
Tea,Kwankuya,High,7,202,2,21
